AbstractFactory,Adapter,Builder,Decorator,Facade,FactoryMethod,Memento,Observer,Prototype,Proxy,Singleton,Visitor
81,0,3,0,1,6,0,0,1,0,3,1
0,48,5,4,8,3,5,8,4,8,2,1
1,3,77,2,3,3,2,0,1,2,5,1
0,1,3,70,4,2,7,4,1,2,3,0
0,1,5,1,66,0,3,3,1,10,10,2
8,2,2,1,1,70,1,0,3,1,7,0
0,0,1,4,2,0,81,2,3,2,1,2
0,2,1,2,1,0,2,85,0,2,4,1
0,2,3,2,0,3,1,1,72,3,5,1
1,4,3,3,11,0,5,3,4,51,3,3
4,0,5,4,6,3,3,3,1,6,59,1
0,2,2,0,0,2,1,0,0,0,1,90
